"operadora","contrato","campo","formacion_productora","modalidad","vigencia","mes","tipo_prueba","fecha_inicio","fecha_fin","tipo_fluido","petroleo_bbl","gas_ksc","estado"
"Green Power Sucursal Colombia","Joropo","Kimbo","Mirador","Evaluación","2025","8","Extensas","2025-02-20T00:00:00.000","2025-08-19T00:00:00.000","Petróleo","0.00","1001.00","Activo"
"MKMS Enerji Sucursal Colombia","Maria Conchita","Istanbul","Jimol Inferior","Evaluación","2025","8","Extensas","2025-06-01T00:00:00.000","2025-11-21T00:00:00.000","Gas y condensado","8758.00","8.50","Activo"
"ONGC Videsh","CPO 5","Halcón","Guadalupe","Evaluación","2025","8","Extensas","2025-07-28T00:00:00.000","2026-01-27T00:00:00.000","Petróleo","0.00","507.00","Activo"
"ONGC Videsh","CPO 5","Halcón","Guadalupe","Evaluación","2025","8","Extensas","2024-07-29T00:00:00.000","2025-01-25T00:00:00.000","Petróleo","0.00","0.00","Inactivo"
"ONGC Videsh","CPO 5","La Urraca","Une","Evaluación","2025","8","Extensas","2025-01-13T00:00:00.000","2025-02-14T00:00:00.000","Petróleo","0.00","0.00","Inactivo"
"Parex Resources","Arauca","Arauca","Une","Explotación","2025","8","Extensas","2024-05-03T00:00:00.000","2024-10-30T00:00:00.000","Petróleo y gas","2492.00","114.00","Activo"
"Parex Resources","LLA 74","Barnett","Mirador","Evaluación","2025","8","Extensas","2025-06-17T00:00:00.000","2025-12-17T00:00:00.000","Petróleo","0.00","325.00","Activo"
"Parex Resources","LLA 74","Yaguarundi","Lower Mirador","Evaluación","2025","8","Extensas","2025-06-19T00:00:00.000","2025-12-19T00:00:00.000","Petróleo","0.00","598.00","Activo"
"Parex Resources","LLA 74","Yaguarundi","Upper Mirador","Evaluación","2025","8","Extensas","2025-07-24T00:00:00.000","2026-01-24T00:00:00.000","Petróleo","0.00","2076.00","Activo"
"Parex Resources","LLA 81","Capybara","Carbonera","Evaluación","2025","8","Extensas","2024-12-11T00:00:00.000","2025-03-11T00:00:00.000","Petróleo y gas","0.00","0.00","Inactivo"
"Petroleos Colombianos S.A.","Tapir","Alberta","Guadalupe","Explotación","2025","8","Extensas","2025-02-16T00:00:00.000","2025-08-15T00:00:00.000","Petróleo","0.00","173.00","Activo"
"Petroleos Colombianos S.A.","Tapir","Alberta","Ubaque","Explotación","2025","8","Extensas","2025-02-23T00:00:00.000","2025-08-15T00:00:00.000","Petróleo","0.00","28.00","Activo"
"Petrosantander","Carare las Monas","Corazon","Lisama","Evaluación","2025","8","Extensas","2025-03-06T00:00:00.000","2025-09-05T00:00:00.000","Petróleo y gas","198.00","34.00","Activo"
"SierraCol Energy","Chipirón","Bayonero","Upper Carbonera","Explotación","2025","8","Extensas","2024-08-01T00:00:00.000","2025-01-31T00:00:00.000","Petróleo y gas","3.80","178.00","Activo"
"SierraCol Energy","Cosecha","REX NE","Carbonera Inferior","Evaluación","2025","8","Extensas","2024-08-28T00:00:00.000","2025-02-28T00:00:00.000","Petróleo y gas","105.00","2939.00","Activo"
"SierraCol Energy","Cosecha","Terecay","K2A","Evaluación","2025","8","Extensas","2024-05-24T00:00:00.000","2024-08-24T00:00:00.000","Petróleo y gas","15.00","187.00","Activo"
"SierraCol Energy","Rondon","Caricare","Carbonera superior","Evaluación","2025","8","Extensas","2025-07-25T00:00:00.000","2026-01-25T00:00:00.000","Petróleo y gas","3.24","30.00","Activo"
"Suelopetrol","Llanos 61","Progre3","Carbonera C5B","Evaluación","2025","8","Extensas","2025-03-23T00:00:00.000","2025-09-23T00:00:00.000","Petróleo","0.00","69.00","Activo"
"Tecpetrol Colombia","CPO 13","Maute","Arenas Basales","Evaluación","2025","8","Extensas","2024-11-23T00:00:00.000","2025-11-23T00:00:00.000","Petróleo","0.00","0.00","Inactivo"
"Vetra Exploracion y Produccion Colombia","LLA 78","Espiguero","Carbonera C7","Evaluación","2025","8","Extensas","2025-03-29T00:00:00.000","2025-08-16T00:00:00.000","Petróleo","0.00","79.00","Inactivo"
"Amerisur Exploracion Colombia","PUT 8","Bienparado","No Reporta","No Reporta","2025","9","Iniciales","2025-01-23T00:00:00.000","2025-02-01T00:00:00.000","No Reporta","0.00","0.00","Inactivo"
"Amerisur Exploracion Colombia","PUT 8","Bienparado","No Reporta","No Reporta","2025","9","Iniciales","2025-03-25T00:00:00.000","2025-04-03T00:00:00.000","Petróleo","715.54","0.00","Inactivo"
"Canacol Energy Colombia","VIM 44","Borbón","No Reporta","No Reporta","2025","9","Iniciales","2025-07-28T00:00:00.000","2025-08-06T00:00:00.000","Gas","0.00","247.19","Activo"
"Canacol Energy Colombia","VIM 5","Zamia","No Reporta","No Reporta","2025","9","Iniciales","2025-07-25T00:00:00.000","2025-08-02T00:00:00.000","Gas","0.00","10127.48","Inactivo"
"Canacol Energy Colombia","VIM 21","Chibigui","No Reporta","No Reporta","2025","9","Iniciales","2025-03-26T00:00:00.000","2025-04-04T00:00:00.000","Gas","0.00","0.00","Inactivo"
"Captiva Resources LLC","SN 26","Pilón","No Reporta","No Reporta","2025","9","Iniciales","2025-06-11T00:00:00.000","2025-08-14T00:00:00.000","Gas","0.00","5767.00","Inactivo"
"CNEOG Sucursal Colombia","Esperanza","Palmer","No Reporta","No Reporta","2025","9","Iniciales","2024-11-23T00:00:00.000","2024-11-30T00:00:00.000","Gas","0.00","2999.26","Inactivo"
"CNEOG Sucursal Colombia","Joropo","Kimbo","No Reporta","No Reporta","2025","9","Iniciales","2024-11-26T00:00:00.000","2025-01-18T00:00:00.000","Petróleo","1329.40","0.00","Activo"
"CNEOG Sucursal Colombia","VIM 21","Arandala","No Reporta","No Reporta","2025","9","Iniciales","2024-04-15T00:00:00.000","2024-12-17T00:00:00.000","Gas","0.00","13232.60","Activo"
"CNEOG Sucursal Colombia","VIM 21","Breva","No Reporta","No Reporta","2025","9","Iniciales","2024-03-21T00:00:00.000","2024-03-27T00:00:00.000","Gas","0.00","8179.00","Inactivo"
"Ecopetrol S.A.","Apiay","Pachaquiaro","No Reporta","No Reporta","2025","9","Iniciales","2024-08-01T00:00:00.000","2024-08-28T00:00:00.000","Petróleo","93.84","0.00","Inactivo"
"Ecopetrol S.A.","Uribante","Oripaya","No Reporta","No Reporta","2025","9","Iniciales","2024-01-10T00:00:00.000","2024-01-18T00:00:00.000","Gas","0.00","0.00","Abandonado"
"Ecopetrol S.A.","VMM 32","Bufalo","No Reporta","No Reporta","2025","9","Iniciales","2024-03-21T00:00:00.000","2024-03-27T00:00:00.000","No Reporta","0.00","0.00","Abandonado"
